Entry,Date,Resale_Price,Type,Type_Rank,Venue,Days_Until,Day_Rank,Interested,Radio_Plays,Face,Corona,Day_Rank2
781,6-Mar,443,100A,8,TD Garden,13,4,8123,1205,145.5,2,4
782,6-Mar,313,100B,6,TD Garden,13,4,8123,1205,99.5,2,4
783,6-Mar,422,SuiteA,7,TD Garden,13,4,8123,1205,149.5,2,4
784,6-Mar,277,200A,4,TD Garden,13,4,8123,1205,59.5,2,4
785,6-Mar,250,200B,3,TD Garden,13,4,8123,1205,39.5,2,4
786,6-Mar,302,Pit,10,United Center,18,2,8176,585,149.5,2,2
787,6-Mar,430,100A,8,United Center,18,2,8176,585,149.5,2,2
788,6-Mar,253,100B,6,United Center,18,2,8176,585,149.5,2,2
789,6-Mar,400,200A,4,United Center,18,2,8176,585,99.5,2,2
790,6-Mar,426,200B,3,United Center,18,2,8176,585,99.5,2,2
791,6-Mar,234,300A,2,United Center,18,2,8176,585,39.5,2,2
792,6-Mar,237,300B,1,United Center,18,2,8176,585,39.5,2,2
793,6-Mar,334,Pit,10,Bridgestone Arena,22,6,8126,916,123,2,5
794,6-Mar,408,100A,8,Bridgestone Arena,22,6,8126,916,73,2,5
795,6-Mar,368,100B,6,Bridgestone Arena,22,6,8126,916,73,2,5
796,6-Mar,373,200A,4,Bridgestone Arena,22,6,8126,916,53.5,2,5
797,6-Mar,457,200B,3,Bridgestone Arena,22,6,8126,916,53.5,2,5
798,6-Mar,226,300A,2,Bridgestone Arena,22,6,8126,916,34.4,2,5
799,6-Mar,213,300B,1,Bridgestone Arena,22,6,8126,916,34.4,2,5
800,6-Mar,284,Pit,10,The Forum A,28,7,2473,2162,149.5,2,6
801,6-Mar,518,100A,8,The Forum A,28,7,2473,2162,149.5,2,6
802,6-Mar,311,100B,6,The Forum A,28,7,2473,2162,149.5,2,6
803,6-Mar,216,200A,4,The Forum A,28,7,2473,2162,59.5,2,6
804,6-Mar,221,200B,3,The Forum A,28,7,2473,2162,39.5,2,6
805,6-Mar,272,Pit,10,The Forum B,29,5,2682,2162,149.5,2,7
806,6-Mar,524,100A,8,The Forum B,29,5,2682,2162,149.5,2,7
807,6-Mar,298,100B,6,The Forum B,29,5,2682,2162,149.5,2,7
808,6-Mar,338,200A,4,The Forum B,29,5,2682,2162,59.5,2,7
809,6-Mar,222,200B,3,The Forum B,29,5,2682,2162,39.5,2,7
810,6-Mar,254,Pit,10,The Forum C,30,2,2881,2162,149.5,2,2
811,6-Mar,545,100A,8,The Forum C,30,2,2881,2162,149.5,2,2
812,6-Mar,341,100B,6,The Forum C,30,2,2881,2162,149.5,2,2
813,6-Mar,226,200A,4,The Forum C,30,2,2881,2162,59.5,2,2
814,6-Mar,226,200B,3,The Forum C,30,2,2881,2162,39.5,2,2
815,7-Mar,267,Pit,10,American Airlines Arena,2,1,6441,1428,145.5,2,1
816,7-Mar,172,100A,8,American Airlines Arena,2,1,6441,1428,145.5,2,1
817,7-Mar,171,100B,6,American Airlines Arena,2,1,6441,1428,95.5,2,1
818,7-Mar,286,200B,3,American Airlines Arena,2,1,6441,1428,65.5,2,1
819,7-Mar,97,300A,2,American Airlines Arena,2,1,6441,1428,95.5,2,1
820,7-Mar,212,300B,1,American Airlines Arena,2,1,6441,1428,65.5,2,1
820,7-Mar,331,Pit,10,Amway Center,3,2,9254,519,146,2,2
821,7-Mar,496,100A,8,Amway Center,3,2,9254,519,146,2,2
822,7-Mar,172,100B,6,Amway Center,3,2,9254,519,146,2,2
823,7-Mar,330,SuiteA,7,Amway Center,3,2,9254,519,146,2,2
824,7-Mar,244,SuiteB,5,Amway Center,3,2,9254,519,146,2,2
825,7-Mar,124,200A,4,Amway Center,3,2,9254,519,96.5,2,2
826,7-Mar,105,200B,3,Amway Center,3,2,9254,519,96.5,2,2
827,7-Mar,321,Pit,10,PNC Arena,5,4,7063,148,125.5,2,4
828,7-Mar,311,100A,8,PNC Arena,5,4,7063,148,125.5,2,4
829,7-Mar,182,100B,6,PNC Arena,5,4,7063,148,125.5,2,4
830,7-Mar,333,200A,4,PNC Arena,5,4,7063,148,75.5,2,4
831,7-Mar,329,200B,3,PNC Arena,5,4,7063,148,75.5,2,4
832,7-Mar,218,300A,2,PNC Arena,5,4,7063,148,55.5,2,4
833,7-Mar,176,300B,1,PNC Arena,5,4,7063,148,55.5,2,4
834,7-Mar,266,Pit,10,Wells Fargo Center,6,6,8172,401,149.25,2,5
835,7-Mar,280,100A,8,Wells Fargo Center,6,6,8172,401,149.25,2,5
836,7-Mar,264,100B,6,Wells Fargo Center,6,6,8172,401,149.25,2,5
837,7-Mar,356,SuiteA,7,Wells Fargo Center,6,6,8172,401,128,2,5
838,7-Mar,222,SuiteB,5,Wells Fargo Center,6,6,8172,401,128,2,5
839,7-Mar,165,200A,4,Wells Fargo Center,6,6,8172,401,39.4,2,5
840,7-Mar,220,200B,3,Wells Fargo Center,6,6,8172,401,39.4,2,5
841,7-Mar,252,300A,2,Wells Fargo Center,6,6,8172,401,39.4,2,5
842,7-Mar,328,Pit,10,Madison Square Garden,8,5,3005,256,149.5,2,7
843,7-Mar,441,Floor,9,Madison Square Garden,8,5,3005,256,149.5,2,7
844,7-Mar,609,100A,8,Madison Square Garden,8,5,3005,256,149.5,2,7
845,7-Mar,551,100B,6,Madison Square Garden,8,5,3005,256,149.5,2,7
846,7-Mar,372,200A,4,Madison Square Garden,8,5,3005,256,99.5,2,7
847,7-Mar,316,300A,2,Madison Square Garden,8,5,3005,256,39.5,2,7
848,7-Mar,241,Pit,10,Prudential Center,9,1,1454,2,149.5,2,1
849,7-Mar,229,100A,8,Prudential Center,9,1,1454,2,149.5,2,1
850,7-Mar,202,100B,6,Prudential Center,9,1,1454,2,149.5,2,1
851,7-Mar,312,SuiteA,7,Prudential Center,9,1,1454,2,149.5,2,1
852,7-Mar,217,200A,4,Prudential Center,9,1,1454,2,99.5,2,1
853,7-Mar,169,200B,3,Prudential Center,9,1,1454,2,99.5,2,1
854,7-Mar,210,300A,2,Prudential Center,9,1,1454,2,39.5,2,1
855,7-Mar,157,300B,1,Prudential Center,9,1,1454,2,39.5,2,1
856,7-Mar,256,Pit,10,Capital One Arena,11,3,8310,421,149.5,2,3
857,7-Mar,354,100A,8,Capital One Arena,11,3,8310,421,149.5,2,3
858,7-Mar,322,100B,6,Capital One Arena,11,3,8310,421,149.5,2,3
859,7-Mar,318,SuiteA,7,Capital One Arena,11,3,8310,421,149.5,2,3
860,7-Mar,312,SuiteB,5,Capital One Arena,11,3,8310,421,149.5,2,3
861,7-Mar,346,200A,4,Capital One Arena,11,3,8310,421,99.5,2,3
862,7-Mar,329,200B,3,Capital One Arena,11,3,8310,421,99.5,2,3
863,7-Mar,190,300A,2,Capital One Arena,11,3,8310,421,39.5,2,3
864,7-Mar,157,300B,1,Capital One Arena,11,3,8310,421,39.5,2,3
865,7-Mar,292,Pit,10,TD Garden,12,4,8168,1205,149.5,2,4
866,7-Mar,336,100A,8,TD Garden,12,4,8168,1205,145.5,2,4
867,7-Mar,323,100B,6,TD Garden,12,4,8168,1205,99.5,2,4
868,7-Mar,437,SuiteA,7,TD Garden,12,4,8168,1205,149.5,2,4
869,7-Mar,286,200A,4,TD Garden,12,4,8168,1205,59.5,2,4
870,7-Mar,258,200B,3,TD Garden,12,4,8168,1205,39.5,2,4
871,7-Mar,297,Pit,10,United Center,17,2,8231,585,149.5,2,2
872,7-Mar,444,100A,8,United Center,17,2,8231,585,149.5,2,2
873,7-Mar,367,100B,6,United Center,17,2,8231,585,149.5,2,2
874,7-Mar,414,200A,4,United Center,17,2,8231,585,99.5,2,2
875,7-Mar,440,200B,3,United Center,17,2,8231,585,99.5,2,2
876,7-Mar,241,300A,2,United Center,17,2,8231,585,39.5,2,2
877,7-Mar,248,300B,1,United Center,17,2,8231,585,39.5,2,2
878,7-Mar,342,Pit,10,Bridgestone Arena,21,6,8147,916,123,2,5
879,7-Mar,422,100A,8,Bridgestone Arena,21,6,8147,916,73,2,5
880,7-Mar,359,100B,6,Bridgestone Arena,21,6,8147,916,73,2,5
881,7-Mar,384,200A,4,Bridgestone Arena,21,6,8147,916,53.5,2,5
882,7-Mar,473,200B,3,Bridgestone Arena,21,6,8147,916,53.5,2,5
883,7-Mar,183,300A,2,Bridgestone Arena,21,6,8147,916,34.4,2,5
884,7-Mar,187,300B,1,Bridgestone Arena,21,6,8147,916,34.4,2,5
885,7-Mar,262,Pit,10,The Forum A,27,7,2498,2162,149.5,2,6
886,7-Mar,536,100A,8,The Forum A,27,7,2498,2162,149.5,2,6
887,7-Mar,322,100B,6,The Forum A,27,7,2498,2162,149.5,2,6
888,7-Mar,218,200A,4,The Forum A,27,7,2498,2162,59.5,2,6
889,7-Mar,229,200B,3,The Forum A,27,7,2498,2162,39.5,2,6
890,7-Mar,280,Pit,10,The Forum B,28,5,2690,2162,149.5,2,7
891,7-Mar,524,100A,8,The Forum B,28,5,2690,2162,149.5,2,7
892,7-Mar,308,100B,6,The Forum B,28,5,2690,2162,149.5,2,7
893,7-Mar,349,200A,4,The Forum B,28,5,2690,2162,59.5,2,7
894,7-Mar,230,200B,3,The Forum B,28,5,2690,2162,39.5,2,7
895,7-Mar,254,Pit,10,The Forum C,29,2,2893,2162,149.5,2,2
896,7-Mar,563,100A,8,The Forum C,29,2,2893,2162,149.5,2,2
897,7-Mar,352,100B,6,The Forum C,29,2,2893,2162,149.5,2,2
898,7-Mar,234,200A,4,The Forum C,29,2,2893,2162,59.5,2,2
899,7-Mar,234,200B,3,The Forum C,29,2,2893,2162,39.5,2,2
900,8-Mar,203,Pit,10,American Airlines Arena,1,1,6524,1428,145.5,2,1
901,8-Mar,167,100A,8,American Airlines Arena,1,1,6524,1428,145.5,2,1
902,8-Mar,145,100B,6,American Airlines Arena,1,1,6524,1428,95.5,2,1
903,8-Mar,272,200B,3,American Airlines Arena,1,1,6524,1428,65.5,2,1
904,8-Mar,98,300A,2,American Airlines Arena,1,1,6524,1428,95.5,2,1
905,8-Mar,101,300B,1,American Airlines Arena,1,1,6524,1428,65.5,2,1
906,8-Mar,279,Pit,10,Amway Center,2,2,9339,519,146,2,2
907,8-Mar,455,100A,8,Amway Center,2,2,9339,519,146,2,2
908,8-Mar,155,100B,6,Amway Center,2,2,9339,519,146,2,2
909,8-Mar,317,SuiteA,7,Amway Center,2,2,9339,519,146,2,2
910,8-Mar,220,SuiteB,5,Amway Center,2,2,9339,519,146,2,2
911,8-Mar,89,200A,4,Amway Center,2,2,9339,519,96.5,2,2
912,8-Mar,100,200B,3,Amway Center,2,2,9339,519,96.5,2,2
913,8-Mar,248,Pit,10,PNC Arena,4,4,7110,148,125.5,2,4
914,8-Mar,302,100A,8,PNC Arena,4,4,7110,148,125.5,2,4
915,8-Mar,215,100B,6,PNC Arena,4,4,7110,148,125.5,2,4
916,8-Mar,340,200A,4,PNC Arena,4,4,7110,148,75.5,2,4
917,8-Mar,329,200B,3,PNC Arena,4,4,7110,148,75.5,2,4
918,8-Mar,199,300A,2,PNC Arena,4,4,7110,148,55.5,2,4
919,8-Mar,174,300B,1,PNC Arena,4,4,7110,148,55.5,2,4
920,8-Mar,263,Pit,10,Wells Fargo Center,5,6,8175,401,149.25,2,5
921,8-Mar,259,100A,8,Wells Fargo Center,5,6,8175,401,149.25,2,5
922,8-Mar,248,100B,6,Wells Fargo Center,5,6,8175,401,149.25,2,5
923,8-Mar,356,SuiteA,7,Wells Fargo Center,5,6,8175,401,128,2,5
924,8-Mar,222,SuiteB,5,Wells Fargo Center,5,6,8175,401,128,2,5
925,8-Mar,172,200A,4,Wells Fargo Center,5,6,8175,401,39.4,2,5
926,8-Mar,206,200B,3,Wells Fargo Center,5,6,8175,401,39.4,2,5
927,8-Mar,252,300A,2,Wells Fargo Center,5,6,8175,401,39.4,2,5
928,8-Mar,350,Pit,10,Madison Square Garden,7,5,3028,256,149.5,2,7
929,8-Mar,427,Floor,9,Madison Square Garden,7,5,3028,256,149.5,2,7
930,8-Mar,590,100A,8,Madison Square Garden,7,5,3028,256,149.5,2,7
931,8-Mar,533,100B,6,Madison Square Garden,7,5,3028,256,149.5,2,7
932,8-Mar,335,200A,4,Madison Square Garden,7,5,3028,256,99.5,2,7
933,8-Mar,306,300A,2,Madison Square Garden,7,5,3028,256,39.5,2,7
934,8-Mar,231,Pit,10,Prudential Center,8,1,1473,2,149.5,2,1
935,8-Mar,221,100A,8,Prudential Center,8,1,1473,2,149.5,2,1
936,8-Mar,195,100B,6,Prudential Center,8,1,1473,2,149.5,2,1
937,8-Mar,302,SuiteA,7,Prudential Center,8,1,1473,2,149.5,2,1
938,8-Mar,206,200A,4,Prudential Center,8,1,1473,2,99.5,2,1
939,8-Mar,164,200B,3,Prudential Center,8,1,1473,2,99.5,2,1
940,8-Mar,203,300A,2,Prudential Center,8,1,1473,2,39.5,2,1
941,8-Mar,162,300B,1,Prudential Center,8,1,1473,2,39.5,2,1
942,8-Mar,243,Pit,10,Capital One Arena,10,3,8371,421,149.5,2,3
943,8-Mar,354,100A,8,Capital One Arena,10,3,8371,421,149.5,2,3
944,8-Mar,268,100B,6,Capital One Arena,10,3,8371,421,149.5,2,3
945,8-Mar,308,SuiteA,7,Capital One Arena,10,3,8371,421,149.5,2,3
946,8-Mar,284,SuiteB,5,Capital One Arena,10,3,8371,421,149.5,2,3
947,8-Mar,334,200A,4,Capital One Arena,10,3,8371,421,99.5,2,3
948,8-Mar,318,200B,3,Capital One Arena,10,3,8371,421,99.5,2,3
949,8-Mar,177,300A,2,Capital One Arena,10,3,8371,421,39.5,2,3
950,8-Mar,157,300B,1,Capital One Arena,10,3,8371,421,39.5,2,3
951,8-Mar,282,Pit,10,TD Garden,11,4,8255,1205,149.5,2,4
952,8-Mar,325,100A,8,TD Garden,11,4,8255,1205,145.5,2,4
953,8-Mar,313,100B,6,TD Garden,11,4,8255,1205,99.5,2,4
954,8-Mar,422,SuiteA,7,TD Garden,11,4,8255,1205,149.5,2,4
955,8-Mar,260,200A,4,TD Garden,11,4,8255,1205,59.5,2,4
956,8-Mar,250,200B,3,TD Garden,11,4,8255,1205,39.5,2,4
957,8-Mar,270,Pit,10,United Center,16,2,8320,585,149.5,2,2
958,8-Mar,430,100A,8,United Center,16,2,8320,585,149.5,2,2
959,8-Mar,355,100B,6,United Center,16,2,8320,585,149.5,2,2
960,8-Mar,400,200A,4,United Center,16,2,8320,585,99.5,2,2
961,8-Mar,399,200B,3,United Center,16,2,8320,585,99.5,2,2
962,8-Mar,243,300A,2,United Center,16,2,8320,585,39.5,2,2
963,8-Mar,240,300B,1,United Center,16,2,8320,585,39.5,2,2
964,8-Mar,331,Pit,10,Bridgestone Arena,20,6,8187,916,123,2,5
965,8-Mar,408,100A,8,Bridgestone Arena,20,6,8187,916,73,2,5
966,8-Mar,470,100B,6,Bridgestone Arena,20,6,8187,916,73,2,5
967,8-Mar,371,200A,4,Bridgestone Arena,20,6,8187,916,53.5,2,5
968,8-Mar,457,200B,3,Bridgestone Arena,20,6,8187,916,53.5,2,5
969,8-Mar,202,300A,2,Bridgestone Arena,20,6,8187,916,34.4,2,5
970,8-Mar,206,300B,1,Bridgestone Arena,20,6,8187,916,34.4,2,5
971,8-Mar,255,Pit,10,The Forum A,26,7,2527,2162,149.5,2,6
972,8-Mar,518,100A,8,The Forum A,26,7,2527,2162,149.5,2,6
973,8-Mar,289,100B,6,The Forum A,26,7,2527,2162,149.5,2,6
974,8-Mar,220,200A,4,The Forum A,26,7,2527,2162,59.5,2,6
975,8-Mar,221,200B,3,The Forum A,26,7,2527,2162,39.5,2,6
976,8-Mar,266,Pit,10,The Forum B,27,5,2708,2162,149.5,2,7
977,8-Mar,524,100A,8,The Forum B,27,5,2708,2162,149.5,2,7
978,8-Mar,298,100B,6,The Forum B,27,5,2708,2162,149.5,2,7
979,8-Mar,311,200A,4,The Forum B,27,5,2708,2162,59.5,2,7
980,8-Mar,222,200B,3,The Forum B,27,5,2708,2162,39.5,2,7
981,8-Mar,238,Pit,10,The Forum C,28,2,2902,2162,149.5,2,2
982,8-Mar,545,100A,8,The Forum C,28,2,2902,2162,149.5,2,2
983,8-Mar,301,100B,6,The Forum C,28,2,2902,2162,149.5,2,2
984,8-Mar,226,200A,4,The Forum C,28,2,2902,2162,59.5,2,2
985,8-Mar,197,200B,3,The Forum C,28,2,2902,2162,39.5,2,2
986,9-Mar,195,Pit,10,American Airlines Arena,0,1,6633,1428,145.5,2,1
987,9-Mar,199,100A,8,American Airlines Arena,0,1,6633,1428,145.5,2,1
988,9-Mar,133,100B,6,American Airlines Arena,0,1,6633,1428,95.5,2,1
989,9-Mar,102,300A,2,American Airlines Arena,0,1,6633,1428,95.5,2,1
990,9-Mar,100,300B,1,American Airlines Arena,0,1,6633,1428,65.5,2,1
991,9-Mar,177,Pit,10,Amway Center,1,2,9396,519,146,2,2
992,9-Mar,506,100A,8,Amway Center,1,2,9396,519,146,2,2
993,9-Mar,184,100B,6,Amway Center,1,2,9396,519,146,2,2
994,9-Mar,265,SuiteA,7,Amway Center,1,2,9396,519,146,2,2
995,9-Mar,195,SuiteB,5,Amway Center,1,2,9396,519,146,2,2
996,9-Mar,111,200A,4,Amway Center,1,2,9396,519,96.5,2,2
997,9-Mar,102,200B,3,Amway Center,1,2,9396,519,96.5,2,2
998,9-Mar,258,Pit,10,PNC Arena,3,4,7121,148,125.5,2,4
999,9-Mar,250,100A,8,PNC Arena,3,4,7121,148,125.5,2,4
1000,9-Mar,211,100B,6,PNC Arena,3,4,7121,148,125.5,2,4
1001,9-Mar,318,200A,4,PNC Arena,3,4,7121,148,75.5,2,4
1002,9-Mar,294,200B,3,PNC Arena,3,4,7121,148,75.5,2,4
1003,9-Mar,133,300A,2,PNC Arena,3,4,7121,148,55.5,2,4
1004,9-Mar,145,300B,1,PNC Arena,3,4,7121,148,55.5,2,4
1005,9-Mar,193,Pit,10,Wells Fargo Center,4,6,8192,401,149.25,2,5
1006,9-Mar,195,100A,8,Wells Fargo Center,4,6,8192,401,149.25,2,5
1007,9-Mar,275,100B,6,Wells Fargo Center,4,6,8192,401,149.25,2,5
1008,9-Mar,356,SuiteA,7,Wells Fargo Center,4,6,8192,401,128,2,5
1009,9-Mar,222,SuiteB,5,Wells Fargo Center,4,6,8192,401,128,2,5
1010,9-Mar,172,200A,4,Wells Fargo Center,4,6,8192,401,39.4,2,5
1011,9-Mar,197,200B,3,Wells Fargo Center,4,6,8192,401,39.4,2,5
1012,9-Mar,165,300A,2,Wells Fargo Center,4,6,8192,401,39.4,2,5
1013,9-Mar,311,Pit,10,Madison Square Garden,6,5,3044,256,149.5,2,7
1014,9-Mar,388,Floor,9,Madison Square Garden,6,5,3044,256,149.5,2,7
1015,9-Mar,590,100A,8,Madison Square Garden,6,5,3044,256,149.5,2,7
1016,9-Mar,311,100B,6,Madison Square Garden,6,5,3044,256,149.5,2,7
1017,9-Mar,335,200A,4,Madison Square Garden,6,5,3044,256,99.5,2,7
1018,9-Mar,261,300A,2,Madison Square Garden,6,5,3044,256,39.5,2,7
1019,9-Mar,190,Pit,10,Prudential Center,7,1,1481,2,149.5,2,1
1020,9-Mar,315,100A,8,Prudential Center,7,1,1481,2,149.5,2,1
1021,9-Mar,195,100B,6,Prudential Center,7,1,1481,2,149.5,2,1
1022,9-Mar,298,SuiteA,7,Prudential Center,7,1,1481,2,149.5,2,1
1023,9-Mar,206,200A,4,Prudential Center,7,1,1481,2,99.5,2,1
1024,9-Mar,177,200B,3,Prudential Center,7,1,1481,2,99.5,2,1
1025,9-Mar,158,300A,2,Prudential Center,7,1,1481,2,39.5,2,1
1026,9-Mar,164,300B,1,Prudential Center,7,1,1481,2,39.5,2,1
1027,9-Mar,239,Pit,10,Capital One Arena,9,3,8403,421,149.5,2,3
1028,9-Mar,396,100A,8,Capital One Arena,9,3,8403,421,149.5,2,3
1029,9-Mar,311,100B,6,Capital One Arena,9,3,8403,421,149.5,2,3
1030,9-Mar,308,SuiteA,7,Capital One Arena,9,3,8403,421,149.5,2,3
1031,9-Mar,284,SuiteB,5,Capital One Arena,9,3,8403,421,149.5,2,3
1032,9-Mar,321,200A,4,Capital One Arena,9,3,8403,421,99.5,2,3
1033,9-Mar,318,200B,3,Capital One Arena,9,3,8403,421,99.5,2,3
1034,9-Mar,173,300A,2,Capital One Arena,9,3,8403,421,39.5,2,3
1035,9-Mar,175,300B,1,Capital One Arena,9,3,8403,421,39.5,2,3
1036,9-Mar,289,Pit,10,TD Garden,10,4,8344,1205,149.5,2,4
1037,9-Mar,338,100A,8,TD Garden,10,4,8344,1205,145.5,2,4
1038,9-Mar,313,100B,6,TD Garden,10,4,8344,1205,99.5,2,4
1039,9-Mar,400,SuiteA,7,TD Garden,10,4,8344,1205,149.5,2,4
1040,9-Mar,277,200A,4,TD Garden,10,4,8344,1205,59.5,2,4
1041,9-Mar,250,200B,3,TD Garden,10,4,8344,1205,39.5,2,4
1042,9-Mar,244,Pit,10,United Center,15,2,8408,585,149.5,2,2
1043,9-Mar,430,100A,8,United Center,15,2,8408,585,149.5,2,2
1044,9-Mar,355,100B,6,United Center,15,2,8408,585,149.5,2,2
1045,9-Mar,400,200A,4,United Center,15,2,8408,585,99.5,2,2
1046,9-Mar,381,200B,3,United Center,15,2,8408,585,99.5,2,2
1047,9-Mar,219,300A,2,United Center,15,2,8408,585,39.5,2,2
1048,9-Mar,211,300B,1,United Center,15,2,8408,585,39.5,2,2
1049,9-Mar,301,Pit,10,Bridgestone Arena,19,6,8205,916,123,2,5
1050,9-Mar,408,100A,8,Bridgestone Arena,19,6,8205,916,73,2,5
1051,9-Mar,470,100B,6,Bridgestone Arena,19,6,8205,916,73,2,5
1052,9-Mar,341,200A,4,Bridgestone Arena,19,6,8205,916,53.5,2,5
1053,9-Mar,457,200B,3,Bridgestone Arena,19,6,8205,916,53.5,2,5
1054,9-Mar,208,300A,2,Bridgestone Arena,19,6,8205,916,34.4,2,5
1055,9-Mar,202,300B,1,Bridgestone Arena,19,6,8205,916,34.4,2,5
1056,9-Mar,233,Pit,10,The Forum A,25,7,2560,2162,149.5,2,6
1057,9-Mar,518,100A,8,The Forum A,25,7,2560,2162,149.5,2,6
1058,9-Mar,289,100B,6,The Forum A,25,7,2560,2162,149.5,2,6
1059,9-Mar,203,200A,4,The Forum A,25,7,2560,2162,59.5,2,6
1060,9-Mar,208,200B,3,The Forum A,25,7,2560,2162,39.5,2,6
1061,9-Mar,244,Pit,10,The Forum B,26,5,2728,2162,149.5,2,7
1062,9-Mar,524,100A,8,The Forum B,26,5,2728,2162,149.5,2,7
1063,9-Mar,298,100B,6,The Forum B,26,5,2728,2162,149.5,2,7
1064,9-Mar,252,200A,4,The Forum B,26,5,2728,2162,59.5,2,7
1065,9-Mar,222,200B,3,The Forum B,26,5,2728,2162,39.5,2,7
1066,9-Mar,202,Pit,10,The Forum C,27,2,2908,2162,149.5,2,2
1067,9-Mar,528,100A,8,The Forum C,27,2,2908,2162,149.5,2,2
1068,9-Mar,301,100B,6,The Forum C,27,2,2908,2162,149.5,2,2
1069,9-Mar,226,200A,4,The Forum C,27,2,2908,2162,59.5,2,2
1070,9-Mar,197,200B,3,The Forum C,27,2,2908,2162,39.5,2,2
1071,10-Mar,161,Pit,10,Amway Center,0,2,9451,519,146,3,2
1072,10-Mar,188,100A,8,Amway Center,0,2,9451,519,146,3,2
1073,10-Mar,183,100B,6,Amway Center,0,2,9451,519,146,3,2
1074,10-Mar,187,SuiteB,5,Amway Center,0,2,9451,519,146,3,2
1075,10-Mar,131,200A,4,Amway Center,0,2,9451,519,96.5,3,2
1076,10-Mar,85,200B,3,Amway Center,0,2,9451,519,96.5,3,2
1077,10-Mar,219,Pit,10,PNC Arena,2,4,7161,148,125.5,3,4
1078,10-Mar,266,100A,8,PNC Arena,2,4,7161,148,125.5,3,4
1079,10-Mar,194,100B,6,PNC Arena,2,4,7161,148,125.5,3,4
1080,10-Mar,291,200A,4,PNC Arena,2,4,7161,148,75.5,3,4
1081,10-Mar,259,200B,3,PNC Arena,2,4,7161,148,75.5,3,4
1082,10-Mar,133,300A,2,PNC Arena,2,4,7161,148,55.5,3,4
1083,10-Mar,104,300B,1,PNC Arena,2,4,7161,148,55.5,3,4
1084,10-Mar,202,Pit,10,Wells Fargo Center,3,6,8238,401,149.25,3,5
1085,10-Mar,305,100A,8,Wells Fargo Center,3,6,8238,401,149.25,3,5
1086,10-Mar,226,100B,6,Wells Fargo Center,3,6,8238,401,149.25,3,5
1087,10-Mar,322,SuiteA,7,Wells Fargo Center,3,6,8238,401,128,3,5
1088,10-Mar,225,SuiteB,5,Wells Fargo Center,3,6,8238,401,128,3,5
1089,10-Mar,146,200A,4,Wells Fargo Center,3,6,8238,401,39.4,3,5
1090,10-Mar,183,200B,3,Wells Fargo Center,3,6,8238,401,39.4,3,5
1091,10-Mar,153,300A,2,Wells Fargo Center,3,6,8238,401,39.4,3,5
1092,10-Mar,275,Pit,10,Madison Square Garden,5,5,3067,256,149.5,3,7
1093,10-Mar,375,Floor,9,Madison Square Garden,5,5,3067,256,149.5,3,7
1094,10-Mar,609,100A,8,Madison Square Garden,5,5,3067,256,149.5,3,7
1095,10-Mar,305,100B,6,Madison Square Garden,5,5,3067,256,149.5,3,7
1096,10-Mar,250,200A,4,Madison Square Garden,5,5,3067,256,99.5,3,7
1097,10-Mar,229,300A,2,Madison Square Garden,5,5,3067,256,39.5,3,7
1098,10-Mar,218,Pit,10,Prudential Center,6,1,1493,2,149.5,3,1
1099,10-Mar,313,100A,8,Prudential Center,6,1,1493,2,149.5,3,1
1100,10-Mar,202,100B,6,Prudential Center,6,1,1493,2,149.5,3,1
1101,10-Mar,299,SuiteA,7,Prudential Center,6,1,1493,2,149.5,3,1
1102,10-Mar,212,200A,4,Prudential Center,6,1,1493,2,99.5,3,1
1103,10-Mar,212,200B,3,Prudential Center,6,1,1493,2,99.5,3,1
1104,10-Mar,160,300A,2,Prudential Center,6,1,1493,2,39.5,3,1
1105,10-Mar,175,300B,1,Prudential Center,6,1,1493,2,39.5,3,1
1106,10-Mar,214,Pit,10,Capital One Arena,8,3,8434,421,149.5,3,3
1107,10-Mar,409,100A,8,Capital One Arena,8,3,8434,421,149.5,3,3
1108,10-Mar,300,100B,6,Capital One Arena,8,3,8434,421,149.5,3,3
1109,10-Mar,273,SuiteA,7,Capital One Arena,8,3,8434,421,149.5,3,3
1110,10-Mar,267,SuiteB,5,Capital One Arena,8,3,8434,421,149.5,3,3
1111,10-Mar,294,200A,4,Capital One Arena,8,3,8434,421,99.5,3,3
1112,10-Mar,329,200B,3,Capital One Arena,8,3,8434,421,99.5,3,3
1113,10-Mar,177,300A,2,Capital One Arena,8,3,8434,421,39.5,3,3
1114,10-Mar,143,300B,1,Capital One Arena,8,3,8434,421,39.5,3,3
1115,10-Mar,300,Pit,10,TD Garden,9,4,8393,1205,149.5,3,4
1116,10-Mar,340,100A,8,TD Garden,9,4,8393,1205,145.5,3,4
1117,10-Mar,316,100B,6,TD Garden,9,4,8393,1205,99.5,3,4
1118,10-Mar,414,SuiteA,7,TD Garden,9,4,8393,1205,149.5,3,4
1119,10-Mar,269,200A,4,TD Garden,9,4,8393,1205,59.5,3,4
1120,10-Mar,213,200B,3,TD Garden,9,4,8393,1205,39.5,3,4
1121,10-Mar,232,Pit,10,United Center,14,2,8488,585,149.5,3,2
1122,10-Mar,438,100A,8,United Center,14,2,8488,585,149.5,3,2
1123,10-Mar,367,100B,6,United Center,14,2,8488,585,149.5,3,2
1124,10-Mar,414,200A,4,United Center,14,2,8488,585,99.5,3,2
1125,10-Mar,394,200B,3,United Center,14,2,8488,585,99.5,3,2
1126,10-Mar,227,300A,2,United Center,14,2,8488,585,39.5,3,2
